number_of_qubits,number_of_classical_bits,depth,width,total_operations,single_qubit_gates,two_qubit_gates,three_qubit_gates,measurement_gates,parameterized_gates,entangling_gates,gate_ccx,gate_cp,gate_cx,gate_cz,gate_h,gate_measure,gate_rx,gate_ry,gate_rz,gate_s,gate_sdg,gate_swap,gate_sx,gate_t,gate_x,gate_y,gate_z
3,3,14,6,33,23,7,0,3,7,7,0,3,1,2,4,3,1,3,0,1,0,1,3,2,4,4,1
6,6,28,12,106,68,27,5,6,27,32,5,9,10,2,8,6,5,7,6,6,0,6,8,9,10,4,5
2,2,50,4,84,66,16,0,2,0,16,0,0,4,8,8,2,0,0,0,7,9,4,4,0,12,12,14
3,3,53,6,128,94,31,0,3,34,31,0,8,7,8,11,3,5,11,10,14,0,8,9,8,4,14,8
8,8,46,16,211,59,131,13,8,65,144,13,45,23,31,4,8,6,7,7,5,0,32,8,7,6,2,7
10,10,42,20,215,97,101,7,10,78,108,7,55,15,15,15,10,7,9,7,7,0,16,12,6,15,10,9
12,12,26,24,175,40,109,14,12,48,123,14,35,23,24,3,12,3,6,4,4,0,27,4,3,4,4,5
5,5,35,10,114,70,38,1,5,39,39,1,19,7,5,17,5,8,4,8,6,0,7,7,3,5,3,9
3,3,40,6,87,52,31,1,3,27,32,1,8,9,6,8,3,4,9,6,6,0,8,2,5,2,6,4
12,12,24,24,217,134,71,0,12,0,71,0,0,21,17,14,12,0,0,0,18,14,33,18,0,22,26,22
9,9,37,18,194,116,63,6,9,51,69,6,19,18,10,12,9,14,6,12,10,0,16,16,13,10,10,13
12,12,24,24,216,145,46,13,12,62,59,13,17,4,14,12,12,16,11,18,14,0,11,14,19,14,12,15
9,9,89,18,225,144,72,0,9,144,72,0,0,72,0,0,9,0,72,72,0,0,0,0,0,0,0,0
2,2,52,4,87,68,17,0,2,68,17,0,0,17,0,0,2,0,34,34,0,0,0,0,0,0,0,0
6,6,97,12,222,144,72,0,6,144,72,0,0,72,0,0,6,0,72,72,0,0,0,0,0,0,0,0
3,3,22,6,57,45,9,0,3,0,9,0,0,2,4,5,3,0,0,0,7,7,3,10,0,4,6,6
11,11,20,22,84,40,30,3,11,17,33,3,7,15,5,6,11,4,5,1,5,0,3,1,3,6,5,4
3,3,28,6,56,28,22,3,3,17,25,3,10,3,5,5,3,2,3,2,3,0,4,1,1,6,3,2
10,10,7,20,47,17,17,3,10,5,20,3,2,5,8,0,10,1,1,1,2,0,2,4,1,1,5,1
10,10,23,20,173,114,41,8,10,37,49,8,9,8,12,13,10,7,10,11,8,0,12,13,14,11,13,14
10,10,9,20,54,13,26,5,10,9,31,5,5,5,11,2,10,1,1,2,3,0,5,0,2,1,0,1
12,12,85,24,228,144,72,0,12,144,72,0,0,72,0,0,12,0,72,72,0,0,0,0,0,0,0,0
10,10,29,20,214,140,57,7,10,63,64,7,21,18,8,19,10,7,15,20,12,0,10,12,18,16,12,9
7,7,37,14,197,128,62,0,7,0,62,0,0,14,16,23,7,0,0,0,17,16,32,22,0,13,17,20
4,4,6,8,22,16,2,0,4,6,2,0,0,1,1,4,4,3,0,3,1,0,0,0,1,1,1,2
2,2,52,4,87,68,17,0,2,68,17,0,0,17,0,0,2,0,34,34,0,0,0,0,0,0,0,0
10,10,43,20,194,127,54,3,10,58,57,3,18,13,13,21,10,13,14,13,9,0,10,10,13,6,10,18
7,7,8,14,50,37,6,0,7,18,6,0,2,2,0,3,7,6,6,4,2,0,2,4,4,3,3,2
11,11,26,22,215,143,51,10,11,61,61,10,20,10,7,17,11,17,10,14,18,0,14,9,11,14,17,16
9,9,31,18,191,106,64,12,9,62,76,12,29,19,9,10,9,7,11,15,5,0,7,13,9,10,13,13
5,5,19,10,67,35,26,1,5,21,27,1,12,5,5,5,5,4,3,2,3,0,4,5,4,1,3,5
11,11,27,22,215,134,58,12,11,50,70,12,19,11,13,17,11,9,9,13,23,0,15,14,11,14,13,11
9,9,32,18,213,140,58,6,9,66,64,6,22,16,12,16,9,13,17,14,8,0,8,15,19,19,8,11
11,11,26,22,216,135,70,0,11,0,70,0,0,23,25,19,11,0,0,0,21,17,22,16,0,21,21,20
10,10,4,20,31,14,5,2,10,6,7,2,1,2,2,2,10,2,1,2,1,0,0,1,2,2,1,0
7,7,26,14,103,33,47,16,7,22,63,16,12,8,14,4,7,4,2,4,2,0,13,1,4,1,3,8
3,3,20,6,51,39,9,0,3,0,9,0,0,3,2,3,3,0,0,0,7,1,4,7,0,11,7,3
4,4,60,8,188,136,44,4,4,66,48,4,14,9,13,14,4,10,24,18,11,0,8,9,12,13,13,12
8,8,61,16,152,96,48,0,8,96,48,0,0,48,0,0,8,0,48,48,0,0,0,0,0,0,0,0
3,3,24,6,53,34,15,1,3,11,16,1,6,4,3,5,3,0,4,1,7,0,2,3,6,3,3,2
6,6,14,12,64,41,14,3,6,17,17,3,6,3,2,6,6,7,1,3,4,0,3,3,7,3,2,5
3,3,26,6,50,23,20,4,3,11,24,4,4,5,7,2,3,2,1,4,2,0,4,4,3,1,1,3
6,6,10,12,41,17,17,1,6,11,18,1,4,6,5,2,6,3,1,3,2,0,2,1,2,1,1,1
5,5,53,10,207,149,48,5,5,62,53,5,16,7,13,22,5,11,23,12,14,0,12,14,12,12,13,16
2,2,37,4,62,48,12,0,2,48,12,0,0,12,0,0,2,0,24,24,0,0,0,0,0,0,0,0
11,11,35,22,214,57,121,25,11,49,146,25,33,29,27,2,11,6,6,4,4,0,32,8,7,9,6,5
7,7,45,14,198,122,64,5,7,61,69,5,35,11,8,17,7,7,10,9,10,0,10,16,13,14,14,12
7,7,4,14,25,16,1,1,7,12,2,1,1,0,0,0,7,5,3,3,1,0,0,2,0,0,1,1
12,12,7,24,66,36,18,0,12,0,18,0,0,2,4,9,12,0,0,0,4,6,12,2,0,3,7,5
7,7,39,14,209,143,54,5,7,63,59,5,23,8,8,17,7,13,14,13,9,0,15,15,10,18,19,15
2,2,34,4,42,14,26,0,2,9,26,0,5,6,10,3,2,1,0,3,2,0,5,1,1,0,3,0
2,2,60,4,95,68,25,0,2,0,25,0,0,7,11,5,2,0,0,0,11,14,7,5,0,7,12,14
3,3,46,6,84,54,27,0,3,54,27,0,0,27,0,0,3,0,27,27,0,0,0,0,0,0,0,0
7,7,24,14,97,58,29,3,7,21,32,3,6,8,9,8,7,4,4,7,5,0,6,7,7,4,6,6
5,5,18,10,64,39,14,6,5,19,20,6,4,6,1,3,5,0,7,8,2,0,3,5,2,4,4,4
7,7,18,14,61,33,19,2,7,16,21,2,5,3,6,3,7,4,3,4,4,0,5,4,2,3,2,4
2,2,56,4,91,68,21,0,2,31,21,0,5,2,7,10,2,4,9,13,3,0,7,8,3,5,7,6
4,4,10,8,21,14,3,0,4,4,3,0,0,1,0,2,4,0,3,1,1,0,2,2,3,1,0,1
4,4,103,8,208,136,68,0,4,136,68,0,0,68,0,0,4,0,68,68,0,0,0,0,0,0,0,0
3,3,15,6,35,24,8,0,3,5,8,0,2,4,1,5,3,1,2,0,3,0,1,4,3,0,2,4
2,2,21,4,27,18,7,0,2,9,7,0,4,1,0,2,2,1,2,2,2,0,2,3,1,1,2,2
10,10,29,20,213,139,51,13,10,51,64,13,13,14,13,11,10,15,11,12,13,0,11,14,12,16,16,19
7,7,39,14,207,134,66,0,7,0,66,0,0,26,22,20,7,0,0,0,16,24,18,22,0,24,17,11
8,8,34,16,209,140,59,2,8,55,61,2,17,16,19,13,8,11,17,10,14,0,7,21,16,10,8,20
4,4,4,8,11,2,5,0,4,2,5,0,1,0,1,1,4,1,0,0,0,0,3,0,0,0,0,0
9,9,17,18,123,88,22,4,9,40,26,4,5,10,3,10,9,11,15,9,5,0,4,6,5,9,10,8
2,2,11,4,19,14,3,0,2,5,3,0,1,2,0,3,2,1,1,2,0,0,0,1,2,1,1,2
7,7,24,14,157,141,7,2,7,125,9,2,6,0,0,3,7,48,33,38,2,0,1,3,4,3,5,2
3,3,39,6,75,35,32,5,3,20,37,5,11,8,6,4,3,3,4,2,3,0,7,5,5,2,5,2
4,4,39,8,124,92,24,4,4,34,28,4,7,8,1,8,4,3,13,11,11,0,8,7,12,11,11,5
9,9,34,18,161,83,66,3,9,65,69,3,45,3,8,19,9,9,9,2,6,0,10,9,9,6,6,8
6,6,49,12,191,117,58,10,6,56,68,10,21,18,13,10,6,14,11,10,4,0,6,20,9,14,14,11
8,8,5,16,28,11,6,3,8,4,9,3,2,0,1,0,8,1,1,0,1,0,3,1,6,1,0,0
9,9,25,18,210,187,13,1,9,167,14,1,12,1,0,2,9,44,56,55,0,0,0,7,5,5,8,5
9,9,11,18,74,40,25,0,9,0,25,0,0,9,7,10,9,0,0,0,6,3,9,8,0,6,2,5
4,4,17,8,47,26,15,2,4,13,17,2,4,4,5,5,4,3,4,2,0,0,2,4,1,2,2,3
6,6,49,12,171,51,105,9,6,53,114,9,32,21,32,4,6,11,5,5,4,0,20,3,2,3,6,8
5,5,25,10,94,62,23,4,5,28,27,4,6,9,4,10,5,5,8,9,2,0,4,6,3,10,6,3
4,4,59,8,184,133,42,5,4,52,47,5,13,10,10,13,4,10,15,14,14,0,9,11,14,14,14,14
7,7,51,14,207,64,122,14,7,67,136,14,48,23,25,7,7,7,7,5,6,0,26,6,6,3,6,11
11,11,27,22,214,134,61,8,11,51,69,8,14,19,18,18,11,17,15,5,8,0,10,11,17,14,12,17
5,5,12,10,54,45,2,2,5,35,4,2,1,1,0,4,5,10,14,10,2,0,0,2,1,0,2,0
9,9,16,18,108,68,26,5,9,23,31,5,5,6,10,9,9,8,3,7,8,0,5,10,3,5,5,10
11,11,36,22,217,132,69,5,11,46,74,5,15,25,11,19,11,15,2,14,13,0,18,11,21,11,15,11
2,2,9,4,14,8,4,0,2,2,4,0,1,0,2,0,2,0,0,1,0,0,1,0,1,5,1,0
11,11,26,22,216,141,58,6,11,66,64,6,23,14,14,9,11,17,9,17,14,0,7,14,18,14,13,16
6,6,34,12,119,38,65,10,6,40,75,10,23,15,13,1,6,5,7,5,4,0,14,3,2,5,5,1
7,7,21,14,108,62,39,0,7,0,39,0,0,11,13,11,7,0,0,0,7,14,15,8,0,7,6,9
4,4,58,8,186,139,40,3,4,44,43,3,11,9,10,14,4,11,10,12,16,0,10,20,15,9,18,14
6,6,44,12,208,150,48,4,6,58,52,4,17,14,10,19,6,19,15,7,17,0,7,13,9,20,15,16
12,12,31,24,213,58,127,16,12,51,143,16,40,25,36,11,12,5,4,2,3,0,26,4,4,6,7,12
10,10,41,20,213,104,91,8,10,87,99,8,65,6,4,21,10,10,6,6,6,0,16,12,11,9,9,14
7,7,39,14,202,130,59,6,7,59,65,6,15,16,12,8,7,15,11,18,11,0,16,12,13,16,10,16
12,12,25,24,215,133,61,9,12,58,70,9,20,20,12,12,12,10,17,11,20,0,9,12,12,14,14,11
10,10,23,20,156,83,52,11,10,43,63,11,17,15,10,4,10,11,4,11,14,0,10,6,10,8,8,7
4,4,23,8,72,48,20,0,4,0,20,0,0,8,6,11,4,0,0,0,5,5,6,7,0,5,6,9
5,5,44,10,196,170,18,3,5,158,21,3,16,2,0,2,5,57,40,45,8,0,0,6,2,4,2,4
12,12,12,24,75,48,14,1,12,15,15,1,4,5,1,3,12,2,4,5,5,0,4,6,4,5,3,11
10,10,14,20,115,81,23,1,10,32,24,1,6,7,3,7,10,8,8,10,15,0,7,9,5,5,10,4
4,4,52,8,157,110,37,6,4,41,43,6,9,9,9,17,4,14,3,15,6,0,10,12,12,11,11,9
2,2,54,4,92,74,16,0,2,26,16,0,6,5,3,10,2,5,7,8,9,0,2,5,8,7,6,9
6,6,21,12,72,18,42,6,6,21,48,6,13,10,5,1,6,1,5,2,2,0,14,1,0,1,3,2
7,7,22,14,80,51,21,1,7,29,22,1,10,3,2,3,7,6,7,6,4,0,6,5,4,6,3,7
10,10,28,20,187,92,77,8,10,42,85,8,18,23,14,12,10,11,10,3,3,0,22,10,9,13,10,11
4,4,25,8,75,47,23,1,4,14,24,1,4,4,9,7,4,3,3,4,0,0,6,9,2,9,8,2
9,9,23,18,118,28,73,8,9,26,81,8,16,21,14,2,9,3,5,2,6,0,22,1,1,3,2,3
12,12,23,24,212,136,64,0,12,0,64,0,0,23,20,20,12,0,0,0,17,19,21,23,0,20,20,17
8,8,36,16,211,139,55,9,8,57,64,9,13,20,10,13,8,12,15,17,12,0,12,18,18,15,9,10
10,10,15,20,114,70,32,2,10,23,34,2,7,8,9,10,10,6,5,5,10,0,8,6,5,4,13,6
5,5,9,10,36,23,7,1,5,9,8,1,2,1,1,3,5,1,2,4,3,0,3,3,0,2,1,4
6,6,32,12,150,102,42,0,6,0,42,0,0,17,15,12,6,0,0,0,11,14,10,16,0,9,24,16
6,6,13,12,61,41,11,3,6,13,14,3,3,4,1,2,6,4,2,4,9,0,3,3,6,3,4,4
2,2,13,4,22,16,4,0,2,0,4,0,0,1,2,4,2,0,0,0,3,1,1,4,0,1,1,2
5,5,23,10,88,57,25,1,5,27,26,1,7,8,5,4,5,1,8,11,5,0,5,8,5,5,5,5
11,11,30,22,137,46,78,2,11,72,80,2,60,5,2,12,11,5,4,3,3,0,11,4,4,1,5,5
6,6,41,12,181,119,47,9,6,55,56,9,12,17,7,13,6,11,12,20,12,0,11,15,8,10,10,8
9,9,9,18,67,46,10,2,9,20,12,2,4,1,4,3,9,3,7,6,2,0,1,3,9,4,5,4
11,11,92,22,242,154,77,0,11,154,77,0,0,77,0,0,11,0,77,77,0,0,0,0,0,0,0,0
5,5,54,10,206,142,54,5,5,63,59,5,13,17,15,9,5,14,20,16,13,0,9,12,18,15,11,14
10,10,17,20,130,85,30,5,10,29,35,5,9,9,5,14,10,2,9,9,10,0,7,8,11,10,8,4
6,6,7,12,26,5,14,1,6,5,15,1,4,2,3,0,6,0,0,1,0,0,5,0,1,1,2,0
5,5,50,10,206,161,36,4,5,53,40,4,10,7,9,19,5,11,13,19,15,0,10,21,13,14,18,18
10,10,25,20,70,40,20,0,10,40,20,0,0,20,0,0,10,0,20,20,0,0,0,0,0,0,0,0
3,3,24,6,69,63,3,0,3,57,3,0,3,0,0,2,3,23,15,16,1,0,0,1,2,0,1,2
8,8,61,16,152,96,48,0,8,96,48,0,0,48,0,0,8,0,48,48,0,0,0,0,0,0,0,0
4,4,48,8,181,166,11,0,4,150,11,0,7,0,2,1,4,50,47,46,3,0,2,3,3,2,6,5
7,7,39,14,209,142,56,4,7,64,60,4,18,14,12,18,7,18,10,18,20,0,12,11,7,19,12,9
12,12,21,24,104,61,26,5,12,25,31,5,7,7,3,8,12,9,2,7,5,0,9,7,4,6,8,5
7,7,13,14,69,43,16,3,7,15,19,3,4,5,3,5,7,5,5,1,3,0,4,10,5,6,1,2
7,7,15,14,84,56,21,0,7,0,21,0,0,6,7,8,7,0,0,0,13,3,8,3,0,10,8,11
2,2,15,4,28,24,2,0,2,8,2,0,0,1,1,5,2,3,2,3,2,0,0,1,4,1,1,2
10,10,85,20,220,140,70,0,10,140,70,0,0,70,0,0,10,0,70,70,0,0,0,0,0,0,0,0
9,9,17,18,118,76,31,2,9,40,33,2,19,2,5,7,9,9,6,6,5,0,5,10,5,8,11,9
2,2,41,4,73,62,9,0,2,26,9,0,3,3,2,6,2,8,8,7,6,0,1,6,8,9,1,3
7,7,29,14,111,59,41,4,7,37,45,4,28,3,4,9,7,0,6,3,8,0,6,7,5,6,8,7
9,9,41,18,209,55,130,15,9,54,145,15,41,21,23,5,9,3,6,4,4,0,45,6,9,5,8,5
2,2,49,4,73,46,25,0,2,15,25,0,6,8,7,2,2,4,1,4,8,0,4,4,6,8,4,5
3,3,18,6,44,31,10,0,3,10,10,0,3,3,2,2,3,1,4,2,4,0,2,3,2,3,3,7
10,10,28,20,211,132,69,0,10,0,69,0,0,17,23,20,10,0,0,0,15,19,29,25,0,16,23,14
3,3,58,6,137,100,31,3,3,29,34,3,4,13,9,9,3,5,12,8,11,0,5,9,9,15,10,12
4,4,33,8,102,68,30,0,4,0,30,0,0,9,5,9,4,0,0,0,5,11,16,10,0,11,13,9
5,5,34,10,129,83,41,0,5,0,41,0,0,12,18,12,5,0,0,0,17,12,11,10,0,13,10,9
3,3,35,6,64,27,27,7,3,17,34,7,8,8,5,4,3,2,3,4,1,0,6,2,3,2,4,2
4,4,26,8,90,74,10,2,4,68,12,2,7,0,2,4,4,27,17,17,1,0,1,1,0,3,2,2
7,7,18,14,98,66,22,3,7,27,25,3,9,7,2,7,7,5,6,7,7,0,4,7,12,8,3,4
5,5,99,10,215,140,70,0,5,140,70,0,0,70,0,0,5,0,70,70,0,0,0,0,0,0,0,0
11,11,40,22,219,102,102,4,11,90,106,4,67,12,8,15,11,8,9,6,10,0,15,9,7,15,12,11
4,4,42,8,116,65,42,5,4,26,47,5,13,9,12,11,4,6,5,2,5,0,8,4,6,7,10,9
6,6,17,12,78,50,20,2,6,15,22,2,5,4,4,6,6,3,2,5,3,0,7,4,11,5,6,5
2,2,49,4,82,64,16,0,2,64,16,0,0,16,0,0,2,0,32,32,0,0,0,0,0,0,0,0
2,2,24,4,39,29,8,0,2,6,8,0,0,4,3,2,2,2,2,2,4,0,1,1,6,1,6,3
2,2,8,4,13,9,2,0,2,1,2,0,1,0,0,2,2,0,0,0,2,0,1,0,2,2,1,0
5,5,45,10,149,94,45,5,5,47,50,5,20,8,6,14,5,1,13,13,13,0,11,10,8,8,9,5
6,6,29,12,126,72,48,0,6,0,48,0,0,21,12,11,6,0,0,0,7,9,15,9,0,12,13,11
12,12,32,24,215,49,139,15,12,53,154,15,43,31,29,10,12,5,4,1,4,0,36,5,2,4,7,7
10,10,39,20,213,120,70,13,10,49,83,13,17,26,10,12,10,8,17,7,6,0,17,15,17,18,7,13
5,5,26,10,77,25,41,6,5,17,47,6,9,8,14,1,5,3,2,3,4,0,10,4,2,1,2,3
6,6,12,12,37,21,10,0,6,6,10,0,2,5,1,3,6,2,2,0,1,0,2,1,3,2,3,4
4,4,27,8,78,53,21,0,4,24,21,0,4,7,2,5,4,12,1,7,7,0,8,6,2,5,5,3
11,11,26,22,211,133,59,8,11,62,67,8,19,9,17,13,11,16,11,16,16,0,14,13,16,10,15,7
6,6,38,12,211,190,13,2,6,171,15,2,13,0,0,10,6,52,53,53,5,0,0,4,5,4,2,2
3,3,66,6,120,78,39,0,3,78,39,0,0,39,0,0,3,0,39,39,0,0,0,0,0,0,0,0
4,4,12,8,36,21,10,1,4,8,11,1,3,0,4,3,4,1,3,1,5,0,3,2,1,0,2,3
8,8,46,16,208,59,122,19,8,64,141,19,41,31,22,6,8,7,4,12,6,0,28,6,4,5,7,2
9,9,26,18,214,189,12,4,9,170,16,4,10,1,1,4,9,50,57,53,2,0,0,5,1,3,7,7
8,8,29,16,213,189,13,3,8,164,16,3,11,0,2,3,8,56,42,55,7,0,0,5,9,6,4,2
5,5,43,10,143,87,51,0,5,57,51,0,24,8,11,8,5,10,12,11,7,0,8,7,7,5,9,11
10,10,29,20,217,143,55,9,10,65,64,9,18,13,11,13,10,11,16,20,16,0,13,13,15,10,15,14
12,12,31,24,213,57,129,15,12,58,144,15,36,28,30,7,12,10,7,5,3,0,35,4,7,8,1,5
3,3,15,6,43,38,2,0,3,35,2,0,2,0,0,1,3,12,12,9,1,0,0,0,1,0,1,1
11,11,38,22,201,92,90,8,11,81,98,8,60,5,9,14,11,7,7,7,7,0,16,10,9,11,9,11
6,6,44,12,209,152,47,4,6,62,51,4,12,12,10,12,6,12,22,16,15,0,13,17,13,14,15,16
3,3,17,6,39,24,12,0,3,14,12,0,4,1,3,1,3,3,4,3,4,0,4,3,2,1,2,1
3,3,8,6,20,15,2,0,3,3,2,0,0,1,1,4,3,0,1,2,0,0,0,2,2,1,3,0
2,2,10,4,17,12,3,0,2,12,3,0,0,3,0,0,2,0,6,6,0,0,0,0,0,0,0,0
2,2,4,4,6,2,2,0,2,0,2,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0
2,2,34,4,55,40,13,0,2,17,13,0,5,3,4,4,2,4,3,5,3,0,1,2,5,5,5,4
11,11,5,22,32,4,11,6,11,3,17,6,2,6,2,0,11,0,1,0,0,0,1,0,2,0,1,0
3,3,71,6,129,84,42,0,3,84,42,0,0,42,0,0,3,0,42,42,0,0,0,0,0,0,0,0
8,8,15,16,90,54,26,2,8,30,28,2,10,3,7,2,8,8,3,9,3,0,6,5,1,8,5,10
4,4,24,8,74,48,22,0,4,0,22,0,0,8,5,6,4,0,0,0,9,6,9,12,0,6,6,3
6,6,52,12,206,125,74,1,6,73,75,1,36,11,16,19,6,6,15,16,12,0,11,14,12,11,9,11
10,10,28,20,215,146,53,6,10,51,59,6,9,15,14,17,10,11,17,14,7,0,15,17,16,20,14,13
10,10,15,20,115,75,25,5,10,23,30,5,3,6,9,6,10,7,6,7,9,0,7,10,8,6,7,9
11,11,27,22,212,122,73,6,11,61,79,6,18,18,21,7,11,14,13,16,12,0,16,14,15,14,9,8
12,12,23,24,212,136,64,0,12,0,64,0,0,29,16,18,12,0,0,0,27,16,19,23,0,18,21,13
10,10,36,20,213,139,62,2,10,48,64,2,12,20,11,18,10,8,13,15,15,0,19,20,14,8,16,12
11,11,24,22,193,119,55,8,11,55,63,8,19,14,9,13,11,10,11,15,9,0,13,17,17,12,10,5
3,3,46,6,111,82,25,1,3,29,26,1,11,3,3,8,3,12,2,4,6,0,8,8,12,11,13,6
6,6,53,12,210,132,66,6,6,72,72,6,33,10,7,17,6,15,15,9,12,0,16,11,15,11,14,13
3,3,24,6,51,34,14,0,3,19,14,0,8,2,0,4,3,3,3,5,2,0,4,7,3,2,2,3
6,6,8,12,40,26,8,0,6,0,8,0,0,4,3,4,6,0,0,0,3,3,1,4,0,4,5,3
2,2,51,4,82,61,19,0,2,23,19,0,7,4,3,8,2,6,5,5,5,0,5,8,7,8,2,7
5,5,5,10,18,9,4,0,5,1,4,0,0,3,0,3,5,0,1,0,0,0,1,1,2,0,1,1
9,9,30,18,210,146,50,5,9,61,55,5,14,14,12,14,9,10,17,20,16,0,10,18,17,8,15,11
6,6,22,12,101,68,23,4,6,29,27,4,8,4,6,5,6,7,8,6,11,0,5,6,5,6,5,9
6,6,38,12,177,120,51,0,6,0,51,0,0,18,21,17,6,0,0,0,17,15,12,19,0,16,16,20
11,11,16,22,101,21,63,6,11,22,69,6,17,12,17,2,11,1,4,0,1,0,17,4,3,1,1,4
5,5,57,10,202,121,69,7,5,63,76,7,22,12,17,14,5,15,9,17,10,0,18,10,14,9,10,13
